drug	drug_action	KDT	KDT_name	Drug_effect_simplified
Caffeine	antagonist	135	ADORA2A	Inhibitor
Theophylline	antagonist	135	ADORA2A	Inhibitor
Oxtriphylline	antagonist	135	ADORA2A	Inhibitor
Adenosine	agonist	135	ADORA2A	Activator
Adenosine	agonist	136	ADORA2B	Activator
Caffeine	antagonist	136	ADORA2B	Inhibitor
Enprofylline	antagonist	136	ADORA2B	Inhibitor
Theophylline	antagonist	136	ADORA2B	Inhibitor
Aminophylline	antagonist	140	ADORA3	Inhibitor
Adenosine	agonist	140	ADORA3	Activator
Caffeine	antagonist	140	ADORA3	Inhibitor
Olaparib	inhibitor	142	PARP1	Inhibitor
Niraparib	inhibitor	142	PARP1	Inhibitor
Rucaparib	inhibitor	142	PARP1	Inhibitor
Talazoparib	inhibitor	142	PARP1	Inhibitor
Silodosin	antagonist	146	ADRA1D	Inhibitor
Dronedarone	antagonist	146	ADRA1D	Inhibitor
Alfuzosin	antagonist	146	ADRA1D	Inhibitor
Norepinephrine	agonist	146	ADRA1D	Activator
Terazosin	antagonist	146	ADRA1D	Inhibitor
Dapiprazole	antagonist	146	ADRA1D	Inhibitor
Racepinephrine	antagonist	146	ADRA1D	Inhibitor
Doxazosin	antagonist	146	ADRA1D	Inhibitor
Droxidopa	agonist	146	ADRA1D	Activator
Phenylephrine	agonist	146	ADRA1D	Activator
Prazosin	antagonist	146	ADRA1D	Inhibitor
Ergotamine	partial agonist	146	ADRA1D	Modulator
Ergotamine	partial agonist	147	ADRA1B	Modulator
Brexpiprazole	antagonist	147	ADRA1B	Inhibitor
Midodrine	agonist	147	ADRA1B	Activator
Chlorpromazine	antagonist	147	ADRA1B	Inhibitor
Terazosin	antagonist	147	ADRA1B	Inhibitor
Prazosin	antagonist	147	ADRA1B	Inhibitor
Alfuzosin	antagonist	147	ADRA1B	Inhibitor
Silodosin	antagonist	147	ADRA1B	Inhibitor
Dapiprazole	antagonist	147	ADRA1B	Inhibitor
Racepinephrine	agonist	147	ADRA1B	Activator
Droxidopa	agonist	147	ADRA1B	Activator
Dronedarone	antagonist	147	ADRA1B	Inhibitor
Phenylephrine	agonist	147	ADRA1B	Activator
Epinephrine	agonist	147	ADRA1B	Activator
Norepinephrine	agonist	147	ADRA1B	Activator
Terazosin	antagonist	148	ADRA1A	Inhibitor
Racepinephrine	agonist	148	ADRA1A	Activator
Benzphetamine	agonist	148	ADRA1A	Activator
Chlorpromazine	antagonist	148	ADRA1A	Inhibitor
Doxazosin	antagonist	148	ADRA1A	Inhibitor
Oxymetazoline	partial agonist	148	ADRA1A	Modulator
Metaraminol	agonist	148	ADRA1A	Activator
Isometheptene	agonist	148	ADRA1A	Activator
Xylometazoline	agonist|partial agonist	148	ADRA1A	Activator
Epinephrine	agonist	148	ADRA1A	Activator
Phenoxybenzamine	antagonist	148	ADRA1A	Inhibitor
Dronedarone	antagonist	148	ADRA1A	Inhibitor
Tolazoline	antagonist	148	ADRA1A	Inhibitor
Prazosin	antagonist	148	ADRA1A	Inhibitor
Silodosin	antagonist	148	ADRA1A	Inhibitor
Phenylephrine	agonist	148	ADRA1A	Activator
Trifluoperazine	antagonist	148	ADRA1A	Inhibitor
Dipivefrin	agonist	148	ADRA1A	Activator
Alfuzosin	antagonist	148	ADRA1A	Inhibitor
Nicergoline	antagonist	148	ADRA1A	Inhibitor
Methoxamine	agonist	148	ADRA1A	Activator
Naphazoline	agonist	148	ADRA1A	Activator
Ergotamine	partial agonist	148	ADRA1A	Modulator
Apraclonidine	agonist	148	ADRA1A	Activator
Midodrine	agonist	148	ADRA1A	Activator
Carvedilol	antagonist|potentiator	148	ADRA1A	Activator
Phentolamine	antagonist	148	ADRA1A	Inhibitor
Propiverine	antagonist	148	ADRA1A	Inhibitor
Phendimetrazine	agonist	148	ADRA1A	Activator
Dapiprazole	antagonist	148	ADRA1A	Inhibitor
Droperidol	antagonist	148	ADRA1A	Inhibitor
Pseudoephedrine	agonist	148	ADRA1A	Activator
Ergometrine	agonist	148	ADRA1A	Activator
Droxidopa	agonist	148	ADRA1A	Activator
Tamsulosin	antagonist	148	ADRA1A	Inhibitor
Ephedrine	agonist	148	ADRA1A	Activator
Norepinephrine	agonist	148	ADRA1A	Activator
Phentolamine	antagonist	150	ADRA2A	Inhibitor
Pseudoephedrine	agonist	150	ADRA2A	Activator
Epinephrine	agonist	150	ADRA2A	Activator
Apraclonidine	agonist	150	ADRA2A	Activator
Dexmedetomidine	agonist	150	ADRA2A	Activator
Clonidine	agonist	150	ADRA2A	Activator
DL-Methylephedrine	agonist	150	ADRA2A	Activator
Lofexidine	agonist	150	ADRA2A	Activator
Yohimbine	antagonist	150	ADRA2A	Inhibitor
Periciazine	antagonist	150	ADRA2A	Inhibitor
Mirtazapine	antagonist	150	ADRA2A	Inhibitor
Dronedarone	antagonist	150	ADRA2A	Inhibitor
Guanabenz	agonist	150	ADRA2A	Activator
Dipivefrin	agonist	150	ADRA2A	Activator
Naphazoline	agonist	150	ADRA2A	Activator
Brimonidine	agonist	150	ADRA2A	Activator
Norepinephrine	agonist	150	ADRA2A	Activator
Xylometazoline	agonist	150	ADRA2A	Activator
Guanfacine	agonist	150	ADRA2A	Activator
Methyldopa	agonist	150	ADRA2A	Activator
Droxidopa	agonist	150	ADRA2A	Activator
Benzphetamine	agonist	150	ADRA2A	Activator
Racepinephrine	agonist	150	ADRA2A	Activator
Oxymetazoline	agonist|partial agonist	150	ADRA2A	Activator
Phenoxybenzamine	antagonist	150	ADRA2A	Inhibitor
Moxonidine	agonist	150	ADRA2A	Activator
Clonidine	agonist	151	ADRA2B	Activator
Racepinephrine	agonist	151	ADRA2B	Activator
Droxidopa	agonist	151	ADRA2B	Activator
Norepinephrine	agonist	151	ADRA2B	Activator
Brimonidine	agonist	151	ADRA2B	Activator
Xylometazoline	agonist	151	ADRA2B	Activator
Dronedarone	antagonist	151	ADRA2B	Inhibitor
Yohimbine	antagonist	151	ADRA2B	Inhibitor
Oxymetazoline	agonist	151	ADRA2B	Activator
Etomidate	agonist	151	ADRA2B	Activator
Epinephrine	agonist	151	ADRA2B	Activator
Norepinephrine	agonist	152	ADRA2C	Activator
Brimonidine	agonist	152	ADRA2C	Activator
Dronedarone	antagonist	152	ADRA2C	Inhibitor
Yohimbine	antagonist	152	ADRA2C	Inhibitor
Droxidopa	agonist	152	ADRA2C	Activator
Brexpiprazole	antagonist	152	ADRA2C	Inhibitor
Clonidine	agonist	152	ADRA2C	Activator
Racepinephrine	agonist	152	ADRA2C	Activator
Pindolol	partial agonist	153	ADRB1	Modulator
Propranolol	antagonist	153	ADRB1	Inhibitor
Carteolol	partial agonist	153	ADRB1	Modulator
DL-Methylephedrine	agonist	153	ADRB1	Activator
Epinephrine	agonist	153	ADRB1	Activator
Labetalol	antagonist	153	ADRB1	Inhibitor
Dobutamine	agonist	153	ADRB1	Activator
Levobunolol	antagonist	153	ADRB1	Inhibitor
Racepinephrine	agonist	153	ADRB1	Activator
Isoetharine	agonist	153	ADRB1	Activator
Nebivolol	antagonist	153	ADRB1	Inhibitor
Atenolol	antagonist	153	ADRB1	Inhibitor
Levobetaxolol	antagonist	153	ADRB1	Inhibitor
Sotalol	antagonist	153	ADRB1	Inhibitor
Isoprenaline	agonist	153	ADRB1	Activator
Metipranolol	antagonist	153	ADRB1	Inhibitor
Nadolol	antagonist	153	ADRB1	Inhibitor
Acebutolol	partial agonist	153	ADRB1	Modulator
Oxprenolol	antagonist	153	ADRB1	Inhibitor
Metoprolol	antagonist	153	ADRB1	Inhibitor
Arbutamine	agonist	153	ADRB1	Activator
Droxidopa	agonist	153	ADRB1	Activator
Timolol	antagonist	153	ADRB1	Inhibitor
Practolol	antagonist	153	ADRB1	Inhibitor
Penbutolol	antagonist|partial agonist	153	ADRB1	Activator
Bisoprolol	antagonist	153	ADRB1	Inhibitor
Betaxolol	antagonist	153	ADRB1	Inhibitor
Xamoterol	partial agonist	153	ADRB1	Modulator
Norepinephrine	agonist	153	ADRB1	Activator
Celiprolol	antagonist	153	ADRB1	Inhibitor
Ephedrine	agonist	153	ADRB1	Activator
Carvedilol	antagonist	153	ADRB1	Inhibitor
Celiprolol	agonist	154	ADRB2	Activator
Labetalol	antagonist	154	ADRB2	Inhibitor
Orciprenaline	agonist	154	ADRB2	Activator
Vilanterol	agonist	154	ADRB2	Activator
Norepinephrine	agonist	154	ADRB2	Activator
Epinephrine	agonist	154	ADRB2	Activator
Terbutaline	agonist	154	ADRB2	Activator
Arformoterol	agonist	154	ADRB2	Activator
Pindolol	partial agonist	154	ADRB2	Modulator
Isoprenaline	agonist|binder	154	ADRB2	Activator
Penbutolol	antagonist|partial agonist	154	ADRB2	Activator
Metipranolol	antagonist	154	ADRB2	Inhibitor
Racepinephrine	agonist	154	ADRB2	Activator
Timolol	antagonist	154	ADRB2	Inhibitor
Fenoterol	agonist	154	ADRB2	Activator
Sotalol	antagonist	154	ADRB2	Inhibitor
Pirbuterol	agonist	154	ADRB2	Activator
Ritodrine	agonist	154	ADRB2	Activator
Levosalbutamol	agonist	154	ADRB2	Activator
Droxidopa	agonist	154	ADRB2	Activator
Etafedrine	agonist	154	ADRB2	Activator
Procaterol	agonist	154	ADRB2	Activator
Formoterol	agonist	154	ADRB2	Activator
Indacaterol	agonist	154	ADRB2	Activator
Salmeterol	agonist	154	ADRB2	Activator
Olodaterol	agonist	154	ADRB2	Activator
Levobunolol	antagonist	154	ADRB2	Inhibitor
Salbutamol	agonist	154	ADRB2	Activator
Carteolol	antagonist	154	ADRB2	Inhibitor
Clenbuterol	agonist	154	ADRB2	Activator
Dipivefrin	agonist	154	ADRB2	Activator
Ephedrine	agonist	154	ADRB2	Activator
Protokylol	agonist	154	ADRB2	Activator
Vibegron	agonist	155	ADRB3	Activator
Racepinephrine	agonist	155	ADRB3	Activator
Droxidopa	agonist	155	ADRB3	Activator
Isoprenaline	agonist	155	ADRB3	Activator
Mirabegron	agonist	155	ADRB3	Activator
Norepinephrine	agonist	155	ADRB3	Activator
Irbesartan	antagonist	185	AGTR1	Inhibitor
Candesartan cilexetil	antagonist	185	AGTR1	Inhibitor
Telmisartan	antagonist	185	AGTR1	Inhibitor
Valsartan	antagonist	185	AGTR1	Inhibitor
Azilsartan medoxomil	antagonist	185	AGTR1	Inhibitor
Olmesartan	antagonist	185	AGTR1	Inhibitor
Losartan	antagonist	185	AGTR1	Inhibitor
Eprosartan	antagonist	185	AGTR1	Inhibitor
Tapinarof	agonist	196	AHR	Activator
Aminolevulinic acid	inducer	210	ALAD	Activator
Patent Blue	binder	213	ALB	Ligand
Guanidine	inhibitor	217	ALDH2	Inhibitor
Disulfiram	inhibitor	217	ALDH2	Inhibitor
Citric acid	inhibitor	231	AKR1B1	Inhibitor
Ceritinib	antagonist	238	ALK	Inhibitor
Brigatinib	inhibitor	238	ALK	Inhibitor
Lorlatinib	inhibitor	238	ALK	Inhibitor
Alectinib	inhibitor	238	ALK	Inhibitor
Crizotinib	inhibitor	238	ALK	Inhibitor
Gilteritinib	inhibitor	238	ALK	Inhibitor
Meclofenamic acid	inhibitor	240	ALOX5	Inhibitor
Balsalazide	inhibitor	240	ALOX5	Inhibitor
Masoprocol	inhibitor	240	ALOX5	Inhibitor
Diethylcarbamazine	inhibitor	240	ALOX5	Inhibitor
Mesalazine	inhibitor	240	ALOX5	Inhibitor
Sulfasalazine	inhibitor	240	ALOX5	Inhibitor
Amifostine	inducer	251	ALPG	Activator
Acarbose	inhibitor	279	AMY2A	Inhibitor
Faricimab	antagonist	285	ANGPT2	Inhibitor
Clodronic acid	inhibitor	291	SLC25A4	Inhibitor
Clodronic acid	inhibitor	292	SLC25A5	Inhibitor
Clodronic acid	inhibitor	293	SLC25A6	Inhibitor
Hydrocortisone butyrate	unknown	301	ANXA1	other
Hydrocortisone probutate	unknown	301	ANXA1	other
Fluocinolone acetonide	inducer	301	ANXA1	Activator
Hydrocortisone phosphate	unknown	301	ANXA1	other
Hydrocortisone acetate	unknown	301	ANXA1	other
Hydrocortisone cypionate	unknown	301	ANXA1	other
Hydrocortisone	agonist	301	ANXA1	Activator
Hydrocortisone valerate	unknown	301	ANXA1	other
Fluocinolone acetonide	inducer	302	ANXA2	Activator
Fluocinolone acetonide	inducer	306	ANXA3	Activator
Fluocinolone acetonide	inducer	307	ANXA4	Activator
Fluocinolone acetonide	inducer	308	ANXA5	Activator
Dequalinium	antagonist|inhibitor	331	XIAP	Activator
Volanesorsen	inhibitor|antisense oligonucleotide	345	APOC3	Activator
Florbetapir (18F)	binder	351	APP	Ligand
Flutemetamol (18F)	binder	351	APP	Ligand
Florbetaben (18F)	binder	351	APP	Ligand
Lutetium Lu-177 vipivotide tetraxetan	binder	354	KLK3	Ligand
Gallium Ga-68 gozetotide	binder	354	KLK3	Ligand
Clascoterone	antagonist	367	AR	Inhibitor
Testosterone cypionate	agonist	367	AR	Activator
Methyltestosterone	agonist	367	AR	Activator
Testosterone undecanoate	agonist	367	AR	Activator
Testosterone	agonist	367	AR	Activator
Flutamide	antagonist	367	AR	Inhibitor
Dienogest	antagonist	367	AR	Inhibitor
Enzalutamide	inhibitor	367	AR	Inhibitor
Testosterone enanthate	agonist	367	AR	Activator
Nilutamide	antagonist	367	AR	Inhibitor
Darolutamide	antagonist	367	AR	Inhibitor
Nandrolone decanoate	agonist	367	AR	Activator
Danazol	agonist	367	AR	Activator
Drospirenone	antagonist	367	AR	Inhibitor
Cyproterone acetate	antagonist	367	AR	Inhibitor
Fluoxymesterone	agonist	367	AR	Activator
Apalutamide	antagonist	367	AR	Inhibitor
Oxymetholone	agonist|activator	367	AR	Activator
Nandrolone phenpropionate	agonist	367	AR	Activator
Stanozolol	agonist	367	AR	Activator
Oxandrolone	agonist	367	AR	Activator
Bicalutamide	antagonist	367	AR	Inhibitor
Dalteparin	potentiator	462	SERPINC1	Activator
Nadroparin	potentiator	462	SERPINC1	Activator
Heparin	potentiator	462	SERPINC1	Activator
Enoxaparin	potentiator	462	SERPINC1	Activator
Sulodexide	potentiator	462	SERPINC1	Activator
Tinzaparin	potentiator	462	SERPINC1	Activator
Fondaparinux	potentiator	462	SERPINC1	Activator
Methotrexate	inhibitor	471	ATIC	Inhibitor
Pemetrexed	inhibitor	471	ATIC	Inhibitor
Ciclopirox	binder	476	ATP1A1	Ligand
Acetyldigitoxin	inhibitor	476	ATP1A1	Inhibitor
Almitrine	binder	476	ATP1A1	Ligand
Etacrynic acid	inhibitor	476	ATP1A1	Inhibitor
Ouabain	inhibitor	476	ATP1A1	Inhibitor
Trichlormethiazide	inhibitor	476	ATP1A1	Inhibitor
Deslanoside	inhibitor	476	ATP1A1	Inhibitor
Digoxin	inhibitor	476	ATP1A1	Inhibitor
Digitoxin	inhibitor	476	ATP1A1	Inhibitor
Bretylium	inhibitor	476	ATP1A1	Inhibitor
Cyclothiazide	inhibitor	486	FXYD2	Inhibitor
Esomeprazole	inhibitor	495	ATP4A	Inhibitor
Pantoprazole	inhibitor	495	ATP4A	Inhibitor
Lansoprazole	inhibitor	495	ATP4A	Inhibitor
Omeprazole	inhibitor	495	ATP4A	Inhibitor
Rabeprazole	inhibitor	495	ATP4A	Inhibitor
Dexlansoprazole	inhibitor	495	ATP4A	Inhibitor
Dexlansoprazole	inhibitor	496	ATP4B	Inhibitor
Gallium nitrate	inhibitor	526	ATP6V1B2	Inhibitor
Thonzonium	inhibitor	528	ATP6V1C1	Inhibitor
Desmopressin	unknown	552	AVPR1A	other
Conivaptan	antagonist	552	AVPR1A	Inhibitor
Terlipressin	agonist	552	AVPR1A	Activator
Lypressin	unknown	552	AVPR1A	other
Vasopressin	agonist|regulator	552	AVPR1A	Activator
Lypressin	unknown	553	AVPR1B	other
Terlipressin	agonist	553	AVPR1B	Activator
Vasopressin	agonist	553	AVPR1B	Activator
Desmopressin	unknown	553	AVPR1B	other
Vasopressin	agonist|regulator	554	AVPR2	Activator
Terlipressin	agonist	554	AVPR2	Activator
Desmopressin	agonist	554	AVPR2	Activator
Lypressin	unknown	554	AVPR2	other
Tolvaptan	antagonist	554	AVPR2	Inhibitor
Conivaptan	antagonist	554	AVPR2	Inhibitor
Gilteritinib	inhibitor	558	AXL	Inhibitor
Edrophonium	inhibitor	590	BCHE	Inhibitor
Hexafluronium	inhibitor	590	BCHE	Inhibitor
Echothiophate	inhibitor	590	BCHE	Inhibitor
Ketamine	inhibitor	590	BCHE	Inhibitor
Dipivefrin	substrate	590	BCHE	Activator
Pyridostigmine	inhibitor	590	BCHE	Inhibitor
Malathion	inhibitor	590	BCHE	Inhibitor
Pralidoxime	activator	590	BCHE	Activator
Rivastigmine	inhibitor	590	BCHE	Inhibitor
Encorafenib	inhibitor	595	CCND1	Inhibitor
Arsenic trioxide	antagonist	595	CCND1	Inhibitor
Paclitaxel	inhibitor	596	BCL2	Inhibitor
Rasagiline	activator	596	BCL2	Activator
Venetoclax	antagonist|inhibitor	596	BCL2	Activator
Idecabtagene vicleucel	binder	608	TNFRSF17	Ligand
Ciltacabtagene autoleucel	binder	608	TNFRSF17	Ligand
Teclistamab	antibody	608	TNFRSF17	Modulator
Imatinib	inhibitor	613	BCR	Inhibitor
Ponatinib	inhibitor	613	BCR	Inhibitor
Bosutinib	inhibitor	613	BCR	Inhibitor
Icatibant	antagonist	624	BDKRB2	Inhibitor
Gallium nitrate	antagonist	632	BGLAP	Inhibitor
Betaine	substrate	635	BHMT	Activator
Riboflavin	product of	645	BLVRB	other
Dibotermin alfa	ligand	657	BMPR1A	Ligand
Dibotermin alfa	ligand	659	BMPR2	Ligand
Regorafenib	inhibitor	673	BRAF	Inhibitor
Ripretinib	inhibitor	673	BRAF	Inhibitor
Sorafenib	inhibitor	673	BRAF	Inhibitor
Dabrafenib	inhibitor	673	BRAF	Inhibitor
Vemurafenib	inhibitor	673	BRAF	Inhibitor
Encorafenib	inhibitor	673	BRAF	Inhibitor
Nicotinamide	product of	683	BST1	other
Zanubrutinib	inhibitor	695	BTK	Inhibitor
Ibrutinib	inhibitor	695	BTK	Inhibitor
Acalabrutinib	inhibitor	695	BTK	Inhibitor
Human C1-esterase inhibitor	inhibitor	715	C1R	Inhibitor
Conestat alfa	inhibitor	715	C1R	Inhibitor
Human C1-esterase inhibitor	inhibitor	716	C1S	Inhibitor
Sutimlimab	inhibitor|antibody	716	C1S	Inhibitor
Conestat alfa	inhibitor	716	C1S	Inhibitor
Pegcetacoplan	binder|regulator	718	C3	Inhibitor
Human immunoglobulin G	binder	718	C3	Ligand
Human immunoglobulin G	binder	720	C4A	Ligand
Human immunoglobulin G	binder	721	C4B	Ligand
Human immunoglobulin G	binder	721	C4B	Ligand
Eculizumab	antibody	727	C5	Modulator
Human immunoglobulin G	binder	727	C5	Ligand
Ravulizumab	inhibitor	727	C5	Inhibitor
Avacopan	antagonist	728	C5AR1	Inhibitor
Diclofenamide	inhibitor	759	CA1	Inhibitor
Acetazolamide	inhibitor	759	CA1	Inhibitor
Chlorothiazide	inhibitor	759	CA1	Inhibitor
Dorzolamide	inhibitor	759	CA1	Inhibitor
Methazolamide	inhibitor	759	CA1	Inhibitor
Chlorthalidone	inhibitor	759	CA1	Inhibitor
Diazoxide	inhibitor	759	CA1	Inhibitor
Sodium sulfate	inhibitor	759	CA1	Inhibitor
Quinethazone	inhibitor	759	CA1	Inhibitor
Methazolamide	inhibitor	760	CA2	Inhibitor
Sodium sulfate	inhibitor	760	CA2	Inhibitor
Quinethazone	inhibitor	760	CA2	Inhibitor
Diazoxide	inhibitor	760	CA2	Inhibitor
Topiramate	inhibitor	760	CA2	Inhibitor
Acetazolamide	inhibitor	760	CA2	Inhibitor
Dorzolamide	inhibitor	760	CA2	Inhibitor
Chlorothiazide	inhibitor	760	CA2	Inhibitor
Diclofenamide	inhibitor	760	CA2	Inhibitor
Brinzolamide	inhibitor	760	CA2	Inhibitor
Acetazolamide	inhibitor	761	CA3	Inhibitor
Diclofenamide	inhibitor	762	CA4	Inhibitor
Methazolamide	inhibitor	762	CA4	Inhibitor
Dorzolamide	inhibitor	762	CA4	Inhibitor
Acetazolamide	inhibitor	762	CA4	Inhibitor
Topiramate	inhibitor	762	CA4	Inhibitor
Diclofenamide	inhibitor	766	CA7	Inhibitor
Methazolamide	inhibitor	766	CA7	Inhibitor
Acetazolamide	inhibitor	766	CA7	Inhibitor
Acetazolamide	inhibitor	771	CA12	Inhibitor
Levetiracetam	inhibitor	774	CACNA1B	Inhibitor
Ziconotide	inhibitor	774	CACNA1B	Inhibitor
Nicardipine	inhibitor	775	CACNA1C	Inhibitor
Isradipine	inhibitor	775	CACNA1C	Inhibitor
Nilvadipine	inhibitor	775	CACNA1C	Inhibitor
Verapamil	inhibitor	775	CACNA1C	Inhibitor
Cinnarizine	inhibitor	775	CACNA1C	Inhibitor
Felodipine	inhibitor	775	CACNA1C	Inhibitor
Amlodipine	inhibitor	775	CACNA1C	Inhibitor
Dronedarone	inhibitor	775	CACNA1C	Inhibitor
Diltiazem	blocker	775	CACNA1C	Inhibitor
Propiverine	antagonist	775	CACNA1C	Inhibitor
Nifedipine	inhibitor	775	CACNA1C	Inhibitor
Nitrendipine	inhibitor	775	CACNA1C	Inhibitor
Nimodipine	inhibitor	775	CACNA1C	Inhibitor
Nisoldipine	inhibitor	775	CACNA1C	Inhibitor
Ibutilide	activator	775	CACNA1C	Activator
Dronedarone	inhibitor	776	CACNA1D	Inhibitor
Nifedipine	inhibitor	776	CACNA1D	Inhibitor
Felodipine	inhibitor	776	CACNA1D	Inhibitor
Nimodipine	inhibitor	776	CACNA1D	Inhibitor
Cinnarizine	inhibitor	776	CACNA1D	Inhibitor
Nitrendipine	inhibitor	776	CACNA1D	Inhibitor
Isradipine	inhibitor	776	CACNA1D	Inhibitor
Nisoldipine	inhibitor	776	CACNA1D	Inhibitor
Nicardipine	inhibitor	776	CACNA1D	Inhibitor
Lamotrigine	inhibitor	777	CACNA1E	Inhibitor
Dronedarone	inhibitor	778	CACNA1F	Inhibitor
Cinnarizine	inhibitor	778	CACNA1F	Inhibitor
Nimodipine	inhibitor	778	CACNA1F	Inhibitor
Isradipine	inhibitor	779	CACNA1S	Inhibitor
Nimodipine	inhibitor	779	CACNA1S	Inhibitor
Cinnarizine	inhibitor	779	CACNA1S	Inhibitor
Felodipine	inhibitor	779	CACNA1S	Inhibitor
Nitrendipine	inhibitor	779	CACNA1S	Inhibitor
Nisoldipine	inhibitor	779	CACNA1S	Inhibitor
Pinaverium	antagonist|inhibitor	779	CACNA1S	Activator
Dronedarone	inhibitor	779	CACNA1S	Inhibitor
Nicardipine	inhibitor	781	CACNA2D1	Inhibitor
Pregabalin	unknown	781	CACNA2D1	other
Isradipine	inhibitor	781	CACNA2D1	Inhibitor
Nilvadipine	inhibitor	781	CACNA2D1	Inhibitor
Felodipine	inhibitor	781	CACNA2D1	Inhibitor
Gabapentin	inhibitor	781	CACNA2D1	Inhibitor
Nitrendipine	inhibitor	781	CACNA2D1	Inhibitor
Nisoldipine	inhibitor	781	CACNA2D1	Inhibitor
Nimodipine	inhibitor	782	CACNB1	Inhibitor
Dronedarone	inhibitor	782	CACNB1	Inhibitor
Ibutilide	activator	782	CACNB1	Activator
Nifedipine	inhibitor	783	CACNB2	Inhibitor
Nimodipine	inhibitor	783	CACNB2	Inhibitor
Nilvadipine	inhibitor	783	CACNB2	Inhibitor
Nisoldipine	inhibitor	783	CACNB2	Inhibitor
Dronedarone	inhibitor	783	CACNB2	Inhibitor
Felodipine	inhibitor	783	CACNB2	Inhibitor
Isradipine	inhibitor	783	CACNB2	Inhibitor
Nicardipine	inhibitor	783	CACNB2	Inhibitor
Nitrendipine	inhibitor	783	CACNB2	Inhibitor
Nimodipine	inhibitor	784	CACNB3	Inhibitor
Dronedarone	inhibitor	784	CACNB3	Inhibitor
Dronedarone	inhibitor	785	CACNB4	Inhibitor
Nimodipine	inhibitor	785	CACNB4	Inhibitor
Lercanidipine	inhibitor	786	CACNG1	Inhibitor
Diltiazem	blocker	786	CACNG1	Inhibitor
Eptinezumab	binder|antibody	796	CALCA	Inhibitor
Galcanezumab	antibody	796	CALCA	Modulator
Fremanezumab	binder|antibody	796	CALCA	Inhibitor
Fremanezumab	binder|antibody	797	CALCB	Inhibitor
Galcanezumab	antibody	797	CALCB	Modulator
Eptinezumab	binder|antibody	797	CALCB	Inhibitor
Pramlintide	agonist	799	CALCR	Activator
Flunarizine	antagonist	801	CALM1	Inhibitor
Flunarizine	antagonist	805	CALM2	Inhibitor
Voclosporin	binder	819	CAMLG	Ligand
Cyclosporine	binder	819	CAMLG	Ligand
Glycyrrhizic acid	antagonist	836	CASP3	Inhibitor
Calcium Phosphate	agonist	846	CASR	Activator
Calcium citrate	agonist	846	CASR	Activator
Cinacalcet	agonist	846	CASR	Activator
Calcium phosphate dihydrate	unknown	846	CASR	other
Etelcalcetide	agonist	846	CASR	Activator
Fomepizole	inhibitor	847	CAT	Inhibitor
Ceruletide	inducer	886	CCKAR	Activator
Pentagastrin	agonist	887	CCKBR	Activator
Muromonab	unknown	915	CD3D	other
Blinatumomab	antibody|activator	915	CD3D	Activator
Mosunetuzumab	binder	916	CD3E	Ligand
Muromonab	binder	916	CD3E	Ligand
Teplizumab	antibody	916	CD3E	Modulator
Muromonab	unknown	917	CD3G	other
Muromonab	unknown	919	CD247	other
Antithymocyte immunoglobulin (rabbit)	unknown	920	CD4	other
Tisagenlecleucel	antibody	930	CD19	Modulator
Axicabtagene ciloleucel	antibody	930	CD19	Modulator
